InitialRed,RedKillBlueRate,InitialBlue,BlueKillRedRate,FinalRed,FinalBlue,BattleDuration
98,0.05630,70,0.06750,68,0,15.70262
99,0.04250,75,0.04250,83,0,18.82791
96,0.06000,86,0.05500,22,0,36.76957
91,0.04500,88,0.06250,0,61,17.44617
93,0.04880,71,0.05000,57,0,19.15124
94,0.05250,76,0.08000,37,0,26.23479
105,0.05880,79,0.04500,75,0,13.28306
110,0.04630,78,0.07250,43,0,28.41488
103,0.04380,90,0.05250,54,0,29.60979
101,0.05750,85,0.07750,36,0,25.80442
100,0.05000,80,0.06000,49,0,21.84947
104,0.04000,74,0.06500,0,18,46.09803
109,0.05500,73,0.05750,75,0,16.47980
108,0.05130,89,0.07000,0,18,38.62687
106,0.04750,84,0.04000,71,0,20.72988
95,0.04130,81,0.07500,0,45,17.56570
90,0.05380,83,0.04750,37,0,28.16948
98,0.05630,70,0.06750,72,0,12.33227
99,0.04250,75,0.04250,45,0,36.79793
96,0.06000,86,0.05500,62,0,16.20894
91,0.04500,88,0.06250,0,40,27.47696
93,0.04880,71,0.05000,65,0,18.31334
94,0.05250,76,0.08000,26,0,26.50679
105,0.05880,79,0.04500,80,0,13.77425
110,0.04630,78,0.07250,52,0,23.10975
103,0.04380,90,0.05250,32,0,40.24456
101,0.05750,85,0.07750,36,0,30.09015
100,0.05000,80,0.06000,38,0,24.48180
104,0.04000,74,0.06500,33,0,34.81647
109,0.05500,73,0.05750,80,0,15.18164
108,0.05130,89,0.07000,50,0,23.74781
106,0.04750,84,0.04000,71,0,18.46611
95,0.04130,81,0.07500,0,47,20.23767
90,0.05380,83,0.04750,56,0,21.18130
98,0.05630,70,0.06750,55,0,21.34493
99,0.04250,75,0.04250,57,0,24.24628
96,0.06000,86,0.05500,57,0,22.12798
91,0.04500,88,0.06250,0,35,27.77056
93,0.04880,71,0.05000,69,0,17.24784
94,0.05250,76,0.08000,37,0,22.71995
105,0.05880,79,0.04500,63,0,21.65529
110,0.04630,78,0.07250,0,10,47.29891
103,0.04380,90,0.05250,23,0,47.05143
101,0.05750,85,0.07750,50,0,21.52184
100,0.05000,80,0.06000,18,0,51.00576
104,0.04000,74,0.06500,0,24,35.59554
109,0.05500,73,0.05750,77,0,16.83078
108,0.05130,89,0.07000,22,0,35.90521
106,0.04750,84,0.04000,79,0,16.82872
95,0.04130,81,0.07500,0,25,29.13603
90,0.05380,83,0.04750,59,0,20.67916
98,0.05630,70,0.06750,62,0,19.27895
99,0.04250,75,0.04250,74,0,19.24406
96,0.06000,86,0.05500,60,0,17.76539
91,0.04500,88,0.06250,0,56,20.97499
93,0.04880,71,0.05000,60,0,19.28381
94,0.05250,76,0.08000,60,0,18.33032
105,0.05880,79,0.04500,85,0,12.13914
110,0.04630,78,0.07250,59,0,18.80489
103,0.04380,90,0.05250,0,47,27.05942
101,0.05750,85,0.07750,40,0,24.43877
100,0.05000,80,0.06000,45,0,25.11174
104,0.04000,74,0.06500,36,0,30.16184
109,0.05500,73,0.05750,83,0,14.00832
108,0.05130,89,0.07000,0,26,28.29738
106,0.04750,84,0.04000,66,0,19.36297
95,0.04130,81,0.07500,0,30,32.27568
90,0.05380,83,0.04750,61,0,22.03681
98,0.05630,70,0.06750,48,0,21.03467
99,0.04250,75,0.04250,62,0,24.19167
96,0.06000,86,0.05500,53,0,17.35632
91,0.04500,88,0.06250,0,37,30.63824
93,0.04880,71,0.05000,33,0,33.68784
94,0.05250,76,0.08000,0,25,25.31071
105,0.05880,79,0.04500,73,0,15.90019
110,0.04630,78,0.07250,85,0,14.89136
103,0.04380,90,0.05250,7,0,71.84860
101,0.05750,85,0.07750,53,0,18.24767
100,0.05000,80,0.06000,58,0,22.17818
104,0.04000,74,0.06500,34,0,31.59329
109,0.05500,73,0.05750,84,0,13.80017
108,0.05130,89,0.07000,0,45,26.08818
106,0.04750,84,0.04000,72,0,24.39174
95,0.04130,81,0.07500,0,55,18.81517
90,0.05380,83,0.04750,40,0,29.72492
98,0.05630,70,0.06750,56,0,16.25675
99,0.04250,75,0.04250,67,0,20.04505
96,0.06000,86,0.05500,39,0,26.59048
91,0.04500,88,0.06250,0,26,33.46764
93,0.04880,71,0.05000,72,0,17.21722
94,0.05250,76,0.08000,40,0,21.97481
105,0.05880,79,0.04500,81,0,15.91383
110,0.04630,78,0.07250,71,0,16.62252
103,0.04380,90,0.05250,39,0,31.35275
101,0.05750,85,0.07750,0,26,31.41481
100,0.05000,80,0.06000,30,0,35.94710
104,0.04000,74,0.06500,66,0,24.46297
109,0.05500,73,0.05750,93,0,11.69984
108,0.05130,89,0.07000,0,26,32.58002
106,0.04750,84,0.04000,64,0,25.28060
95,0.04130,81,0.07500,0,43,23.92066
90,0.05380,83,0.04750,37,0,31.07269
98,0.05630,70,0.06750,55,0,18.38606
99,0.04250,75,0.04250,75,0,18.14323
96,0.06000,86,0.05500,31,0,29.08662
91,0.04500,88,0.06250,0,32,30.16679
93,0.04880,71,0.05000,65,0,17.79322
94,0.05250,76,0.08000,0,11,43.61452
105,0.05880,79,0.04500,67,0,17.86253
110,0.04630,78,0.07250,48,0,27.87960
103,0.04380,90,0.05250,46,0,28.16572
101,0.05750,85,0.07750,50,0,20.23975
100,0.05000,80,0.06000,45,0,23.89501
104,0.04000,74,0.06500,35,0,34.61350
109,0.05500,73,0.05750,73,0,16.40156
108,0.05130,89,0.07000,20,0,39.24851
106,0.04750,84,0.04000,71,0,24.09530
95,0.04130,81,0.07500,0,48,19.45115
90,0.05380,83,0.04750,55,0,22.86908
98,0.05630,70,0.06750,51,0,18.28289
99,0.04250,75,0.04250,64,0,23.03149
96,0.06000,86,0.05500,67,0,16.88845
91,0.04500,88,0.06250,0,16,43.83072
93,0.04880,71,0.05000,66,0,17.38732
94,0.05250,76,0.08000,0,21,27.84089
105,0.05880,79,0.04500,87,0,12.02120
110,0.04630,78,0.07250,0,23,42.08550
103,0.04380,90,0.05250,7,0,70.42391
101,0.05750,85,0.07750,0,19,39.06695
100,0.05000,80,0.06000,30,0,33.42935
104,0.04000,74,0.06500,24,0,47.38393
109,0.05500,73,0.05750,62,0,22.43005
108,0.05130,89,0.07000,38,0,32.22091
106,0.04750,84,0.04000,69,0,25.26794
95,0.04130,81,0.07500,0,61,11.81434
90,0.05380,83,0.04750,47,0,25.09077
98,0.05630,70,0.06750,57,0,18.55876
99,0.04250,75,0.04250,64,0,20.54547
96,0.06000,86,0.05500,44,0,21.72420
91,0.04500,88,0.06250,0,50,22.83322
93,0.04880,71,0.05000,26,0,45.28406
94,0.05250,76,0.08000,49,0,22.79783
105,0.05880,79,0.04500,89,0,13.96363
110,0.04630,78,0.07250,58,0,23.82579
103,0.04380,90,0.05250,26,0,48.06963
101,0.05750,85,0.07750,0,23,30.28178
100,0.05000,80,0.06000,34,0,33.75204
104,0.04000,74,0.06500,39,0,31.18118
109,0.05500,73,0.05750,74,0,14.24245
108,0.05130,89,0.07000,57,0,24.61085
106,0.04750,84,0.04000,71,0,21.64275
95,0.04130,81,0.07500,0,62,17.15961
90,0.05380,83,0.04750,32,0,31.62196
98,0.05630,70,0.06750,63,0,13.95463
99,0.04250,75,0.04250,79,0,17.51330
96,0.06000,86,0.05500,74,0,14.70510
91,0.04500,88,0.06250,0,51,23.77383
93,0.04880,71,0.05000,66,0,17.25421
94,0.05250,76,0.08000,0,38,22.08786
105,0.05880,79,0.04500,80,0,14.33145
110,0.04630,78,0.07250,66,0,19.57860
103,0.04380,90,0.05250,26,0,45.97232
101,0.05750,85,0.07750,0,18,35.94968
100,0.05000,80,0.06000,34,0,30.98089
104,0.04000,74,0.06500,27,0,33.66050
109,0.05500,73,0.05750,88,0,14.86403
108,0.05130,89,0.07000,49,0,23.47485
106,0.04750,84,0.04000,73,0,19.57666
95,0.04130,81,0.07500,0,40,21.89244
90,0.05380,83,0.04750,61,0,16.88503
98,0.05630,70,0.06750,56,0,21.81143
99,0.04250,75,0.04250,73,0,17.24535
96,0.06000,86,0.05500,54,0,23.14726
91,0.04500,88,0.06250,0,51,20.04096
93,0.04880,71,0.05000,67,0,16.71722
94,0.05250,76,0.08000,0,18,29.51353
105,0.05880,79,0.04500,74,0,15.19244
110,0.04630,78,0.07250,48,0,23.76167
103,0.04380,90,0.05250,34,0,36.97815
101,0.05750,85,0.07750,43,0,24.66146
100,0.05000,80,0.06000,54,0,26.12729
104,0.04000,74,0.06500,47,0,28.95677
109,0.05500,73,0.05750,84,0,14.56067
108,0.05130,89,0.07000,50,0,26.01357
106,0.04750,84,0.04000,65,0,23.91928
95,0.04130,81,0.07500,0,50,20.90881
90,0.05380,83,0.04750,24,0,34.83046
98,0.05630,70,0.06750,60,0,17.48727
99,0.04250,75,0.04250,68,0,24.41034
96,0.06000,86,0.05500,38,0,27.97538
91,0.04500,88,0.06250,0,31,26.17245
93,0.04880,71,0.05000,68,0,20.23166
94,0.05250,76,0.08000,35,0,24.71573
105,0.05880,79,0.04500,82,0,15.60538
110,0.04630,78,0.07250,63,0,16.96839
103,0.04380,90,0.05250,67,0,21.79196
101,0.05750,85,0.07750,40,0,26.34059
100,0.05000,80,0.06000,46,0,24.77816
104,0.04000,74,0.06500,29,0,36.19058
109,0.05500,73,0.05750,82,0,15.55701
108,0.05130,89,0.07000,47,0,26.05704
106,0.04750,84,0.04000,91,0,16.03650
95,0.04130,81,0.07500,0,47,22.44017
90,0.05380,83,0.04750,27,0,35.02451
98,0.05630,70,0.06750,69,0,12.09106
99,0.04250,75,0.04250,33,0,36.93142
96,0.06000,86,0.05500,34,0,37.29133
91,0.04500,88,0.06250,0,48,19.13713
93,0.04880,71,0.05000,50,0,19.43057
94,0.05250,76,0.08000,0,13,43.57929
105,0.05880,79,0.04500,82,0,12.80613
110,0.04630,78,0.07250,71,0,17.76712
103,0.04380,90,0.05250,0,30,44.46793
101,0.05750,85,0.07750,0,27,26.39400
100,0.05000,80,0.06000,15,0,51.40000
104,0.04000,74,0.06500,63,0,22.96296
109,0.05500,73,0.05750,81,0,13.99746
108,0.05130,89,0.07000,0,41,23.75517
106,0.04750,84,0.04000,74,0,19.37584
95,0.04130,81,0.07500,0,50,21.99465
90,0.05380,83,0.04750,45,0,27.58510
98,0.05630,70,0.06750,66,0,16.21458
99,0.04250,75,0.04250,74,0,18.80265
96,0.06000,86,0.05500,64,0,18.79333
91,0.04500,88,0.06250,0,63,16.79181
93,0.04880,71,0.05000,60,0,18.40475
94,0.05250,76,0.08000,0,31,22.07037
105,0.05880,79,0.04500,81,0,15.80044
110,0.04630,78,0.07250,76,0,15.57666
103,0.04380,90,0.05250,0,45,27.36440
101,0.05750,85,0.07750,51,0,18.51019
100,0.05000,80,0.06000,34,0,32.74065
104,0.04000,74,0.06500,53,0,22.24233
109,0.05500,73,0.05750,74,0,16.13524
108,0.05130,89,0.07000,0,19,34.87599
106,0.04750,84,0.04000,66,0,21.12939
95,0.04130,81,0.07500,0,26,27.68111
90,0.05380,83,0.04750,40,0,33.61197
98,0.05630,70,0.06750,60,0,15.54180
99,0.04250,75,0.04250,67,0,21.70657
96,0.06000,86,0.05500,57,0,22.01763
91,0.04500,88,0.06250,0,26,41.61167
93,0.04880,71,0.05000,65,0,15.97164
94,0.05250,76,0.08000,23,0,32.10439
105,0.05880,79,0.04500,86,0,13.86846
110,0.04630,78,0.07250,57,0,25.53589
103,0.04380,90,0.05250,0,23,38.68834
101,0.05750,85,0.07750,0,37,21.66510
100,0.05000,80,0.06000,43,0,22.47510
104,0.04000,74,0.06500,66,0,23.86538
109,0.05500,73,0.05750,65,0,18.18762
108,0.05130,89,0.07000,57,0,21.35825
106,0.04750,84,0.04000,84,0,17.74217
95,0.04130,81,0.07500,0,40,21.94481
90,0.05380,83,0.04750,42,0,27.96943
98,0.05630,70,0.06750,74,0,13.20516
99,0.04250,75,0.04250,57,0,23.81067
96,0.06000,86,0.05500,31,0,35.03852
91,0.04500,88,0.06250,0,38,24.25236
93,0.04880,71,0.05000,76,0,15.75014
94,0.05250,76,0.08000,0,40,21.42934
105,0.05880,79,0.04500,90,0,14.22244
110,0.04630,78,0.07250,0,25,35.53199
103,0.04380,90,0.05250,21,0,43.36116
101,0.05750,85,0.07750,35,0,29.46261
100,0.05000,80,0.06000,45,0,29.03107
104,0.04000,74,0.06500,8,0,59.34903
109,0.05500,73,0.05750,87,0,13.33990
108,0.05130,89,0.07000,0,4,66.81414
106,0.04750,84,0.04000,72,0,23.64751
95,0.04130,81,0.07500,0,11,50.42920
90,0.05380,83,0.04750,36,0,34.38025
98,0.05630,70,0.06750,72,0,14.82033
99,0.04250,75,0.04250,80,0,18.67015
96,0.06000,86,0.05500,50,0,23.55139
91,0.04500,88,0.06250,4,0,74.47050
93,0.04880,71,0.05000,69,0,21.37235
94,0.05250,76,0.08000,0,22,29.58830
105,0.05880,79,0.04500,75,0,15.18602
110,0.04630,78,0.07250,36,0,26.53760
103,0.04380,90,0.05250,34,0,46.27056
101,0.05750,85,0.07750,0,30,29.74191
100,0.05000,80,0.06000,49,0,24.26702
104,0.04000,74,0.06500,32,0,29.18230
109,0.05500,73,0.05750,58,0,18.58374
108,0.05130,89,0.07000,37,0,30.95772
106,0.04750,84,0.04000,66,0,22.09409
95,0.04130,81,0.07500,0,55,17.92741
90,0.05380,83,0.04750,37,0,34.46780
98,0.05630,70,0.06750,51,0,18.90421
99,0.04250,75,0.04250,63,0,22.75542
96,0.06000,86,0.05500,38,0,25.96179
91,0.04500,88,0.06250,22,0,38.25503
93,0.04880,71,0.05000,47,0,27.85348
94,0.05250,76,0.08000,13,0,30.00695
105,0.05880,79,0.04500,76,0,16.10879
110,0.04630,78,0.07250,0,24,34.25257
103,0.04380,90,0.05250,0,11,52.55253
101,0.05750,85,0.07750,22,0,38.00770
100,0.05000,80,0.06000,52,0,25.94603
104,0.04000,74,0.06500,68,0,21.57091
109,0.05500,73,0.05750,83,0,11.16674
108,0.05130,89,0.07000,0,23,32.99942
106,0.04750,84,0.04000,70,0,24.01195
95,0.04130,81,0.07500,0,40,22.85760
90,0.05380,83,0.04750,40,0,28.37953
98,0.05630,70,0.06750,64,0,14.80638
99,0.04250,75,0.04250,64,0,21.73039
96,0.06000,86,0.05500,59,0,20.91531
91,0.04500,88,0.06250,0,51,21.59519
93,0.04880,71,0.05000,64,0,20.99425
94,0.05250,76,0.08000,0,28,22.93671
105,0.05880,79,0.04500,72,0,16.19437
110,0.04630,78,0.07250,62,0,19.57545
103,0.04380,90,0.05250,31,0,38.46604
101,0.05750,85,0.07750,42,0,22.83115
100,0.05000,80,0.06000,40,0,28.27126
104,0.04000,74,0.06500,57,0,24.61609
109,0.05500,73,0.05750,83,0,13.95731
108,0.05130,89,0.07000,15,0,42.35789
106,0.04750,84,0.04000,68,0,23.13513
95,0.04130,81,0.07500,0,42,22.10449
90,0.05380,83,0.04750,53,0,19.46721
98,0.05630,70,0.06750,51,0,17.91923
99,0.04250,75,0.04250,70,0,17.68679
96,0.06000,86,0.05500,8,0,52.89361
91,0.04500,88,0.06250,0,37,23.23229
93,0.04880,71,0.05000,58,0,20.01664
94,0.05250,76,0.08000,39,0,19.91873
105,0.05880,79,0.04500,81,0,16.58654
110,0.04630,78,0.07250,45,0,27.33676
103,0.04380,90,0.05250,39,0,37.65207
101,0.05750,85,0.07750,56,0,19.69026
100,0.05000,80,0.06000,44,0,24.25074
104,0.04000,74,0.06500,44,0,30.87692
109,0.05500,73,0.05750,62,0,16.62747
108,0.05130,89,0.07000,43,0,26.11733
106,0.04750,84,0.04000,75,0,21.53618
95,0.04130,81,0.07500,0,32,27.14557
90,0.05380,83,0.04750,34,0,29.88271
98,0.05630,70,0.06750,54,0,21.31511
99,0.04250,75,0.04250,61,0,27.01020
96,0.06000,86,0.05500,43,0,24.67645
91,0.04500,88,0.06250,0,61,19.47560
93,0.04880,71,0.05000,49,0,23.69889
94,0.05250,76,0.08000,0,36,22.16129
105,0.05880,79,0.04500,75,0,15.70469
110,0.04630,78,0.07250,25,0,39.55033
103,0.04380,90,0.05250,0,34,32.16771
101,0.05750,85,0.07750,45,0,22.30912
100,0.05000,80,0.06000,48,0,28.51369
104,0.04000,74,0.06500,49,0,23.10101
109,0.05500,73,0.05750,82,0,12.71867
108,0.05130,89,0.07000,28,0,26.61745
106,0.04750,84,0.04000,79,0,21.23658
95,0.04130,81,0.07500,0,36,25.47989
90,0.05380,83,0.04750,43,0,25.40857
98,0.05630,70,0.06750,69,0,15.53990
99,0.04250,75,0.04250,56,0,25.06678
96,0.06000,86,0.05500,52,0,19.78595
91,0.04500,88,0.06250,0,42,27.62628
93,0.04880,71,0.05000,67,0,17.96335
94,0.05250,76,0.08000,0,21,32.18722
105,0.05880,79,0.04500,80,0,13.85428
110,0.04630,78,0.07250,55,0,22.05950
103,0.04380,90,0.05250,22,0,47.85671
101,0.05750,85,0.07750,0,28,27.54915
100,0.05000,80,0.06000,23,0,37.01188
104,0.04000,74,0.06500,0,39,27.51129
109,0.05500,73,0.05750,79,0,12.45700
108,0.05130,89,0.07000,16,0,38.70669
106,0.04750,84,0.04000,84,0,18.90782
95,0.04130,81,0.07500,9,0,62.59113
90,0.05380,83,0.04750,46,0,23.95023
98,0.05630,70,0.06750,52,0,19.21469
99,0.04250,75,0.04250,57,0,27.69422
96,0.06000,86,0.05500,6,0,60.88102
91,0.04500,88,0.06250,0,33,37.70593
93,0.04880,71,0.05000,51,0,25.29867
94,0.05250,76,0.08000,16,0,40.91197
105,0.05880,79,0.04500,73,0,19.19489
110,0.04630,78,0.07250,30,0,34.58333
103,0.04380,90,0.05250,35,0,31.69887
101,0.05750,85,0.07750,0,5,54.92861
100,0.05000,80,0.06000,57,0,24.04749
104,0.04000,74,0.06500,51,0,23.68110
109,0.05500,73,0.05750,85,0,11.79401
108,0.05130,89,0.07000,0,27,33.81561
106,0.04750,84,0.04000,65,0,21.96749
95,0.04130,81,0.07500,0,22,28.93817
90,0.05380,83,0.04750,30,0,33.93456
98,0.05630,70,0.06750,70,0,14.38486
99,0.04250,75,0.04250,85,0,14.58565
96,0.06000,86,0.05500,46,0,22.95046
91,0.04500,88,0.06250,0,17,44.26908
93,0.04880,71,0.05000,67,0,20.56951
94,0.05250,76,0.08000,22,0,32.41499
105,0.05880,79,0.04500,89,0,14.68954
110,0.04630,78,0.07250,26,0,36.02834
103,0.04380,90,0.05250,26,0,48.20465
101,0.05750,85,0.07750,0,42,19.74536
100,0.05000,80,0.06000,69,0,17.52194
104,0.04000,74,0.06500,45,0,31.78680
109,0.05500,73,0.05750,87,0,12.50270
108,0.05130,89,0.07000,0,25,31.18020
106,0.04750,84,0.04000,72,0,19.13216
95,0.04130,81,0.07500,0,46,20.62708
90,0.05380,83,0.04750,49,0,23.75365
98,0.05630,70,0.06750,65,0,13.80232
99,0.04250,75,0.04250,69,0,25.29050
96,0.06000,86,0.05500,46,0,22.88291
91,0.04500,88,0.06250,0,58,19.78514
93,0.04880,71,0.05000,67,0,16.68046
94,0.05250,76,0.08000,20,0,33.96672
105,0.05880,79,0.04500,79,0,14.39378
110,0.04630,78,0.07250,0,18,38.21337
103,0.04380,90,0.05250,62,0,21.28082
101,0.05750,85,0.07750,9,0,45.45382
100,0.05000,80,0.06000,35,0,32.95528
104,0.04000,74,0.06500,64,0,23.52426
109,0.05500,73,0.05750,72,0,17.22219
108,0.05130,89,0.07000,60,0,20.52983
106,0.04750,84,0.04000,48,0,34.72050
95,0.04130,81,0.07500,0,35,24.53074
90,0.05380,83,0.04750,42,0,30.77194
98,0.05630,70,0.06750,52,0,20.14449
99,0.04250,75,0.04250,54,0,24.99746
